"","name.twitter","date_created","handle.twitter","ID.twitter","faves","followers","name.website","title_category_1","category_1","title_category_2","category_2","title_category_3","category_3","title_category_4","category_4","title_category_5","category_5"
"1","Jay Schweikert","Tue Mar 06 17:42:07 +0000 2018","jay_schweikert","971078486495514624","1191","353","Jay Schweikert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Jeffrey A. Singer","Sat Oct 15 21:07:19 +0000 2016","dr4liberty","787399476763693056","496","661","Jeffrey A. Singer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Caroline Dorminey","Sun Nov 22 17:10:38 +0000 2015","CDDorminey","4251109120","734","397","Caroline Dorminey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Eric Gomez","Wed Oct 22 02:07:47 +0000 2014","EricGomezAsia","2869981741","5591","1137","Eric Gomez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","John Samples","Fri Oct 31 19:50:05 +0000 2014","SamplesAtCato","2853670545","0","27","John Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Emma Ashford","Wed Sep 03 20:36:04 +0000 2014","EmmaMAshford","2788547730","3719","6210","Emma Ashford",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Dan Pearson","Wed Feb 19 16:51:44 +0000 2014","DPearson_mn","2351966168","30","668","Daniel R. Pearson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Clark Neily","Tue Jul 30 18:35:13 +0000 2013","ConLawWarrior","1633579489","7525","5034","Clark Neily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Roger Pilon","Wed Mar 27 20:23:25 +0000 2013","Roger_Pilon","1308527071","64","1335","Roger Pilon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Corey A. DeAngelis","Sun Mar 17 22:22:57 +0000 2013","DeAngelisCorey","1276140426","16945","1685","Corey A. DeAngelis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Chris Edwards","Mon Feb 11 17:10:56 +0000 2013","CatoEdwards","1169477054","452","1378","Chris Edwards",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Prof. Steve Hanke","Fri Oct 05 19:10:03 +0000 2012","steve_hanke","863527548","7057","98331","Dr. Steve Davies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","AlanReynoldsEcon","Wed Aug 29 23:08:55 +0000 2012","AlanReynoldsEcn","790330998","318","1637","Alan Reynolds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","vanessa brown calder","Mon Aug 06 17:40:21 +0000 2012","vanessabcalder","741082314","2598","1179","Vanessa Brown Calder",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Simon Lester","Wed Jul 25 19:09:22 +0000 2012","snlester","716589799","6877","6221","Simon Lester",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Diego Zuluaga","Tue Jan 17 18:25:00 +0000 2012","DiegoZuluagaL","466718156","1122","1128","Diego Zuluaga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Patrick J. Michaels","Thu Oct 20 18:13:44 +0000 2011","CatoMichaels","394838208","1","1949","Patrick J. Michaels",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","George Selgin","Tue Jul 26 23:10:15 +0000 2011","GeorgeSelgin","343019754","722","3375","George Selgin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Michael Tanner","Thu Jul 21 17:06:37 +0000 2011","MTannerCato","339782439","503","4442","Michael D. Tanner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Johan Norberg","Tue Jun 07 08:56:44 +0000 2011","johanknorberg","312544868","1084","37579","Johan Norberg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Neal McCluskey","Thu Jun 02 15:56:39 +0000 2011","NealMcCluskey","309740877","1632","4545","Neal McCluskey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Ryan Bourne","Thu May 12 13:01:52 +0000 2011","MrRBourne","297395484","1600","10161","Ryan Bourne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","David Bier","Mon May 09 14:51:25 +0000 2011","David_J_Bier","295711337","7083","6534","David Bier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Mustafa Akyol","Mon May 09 01:01:02 +0000 2011","AkyolinEnglish","295431169","1905","40410","Mustafa Akyol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Patrick Eddington","Thu Aug 19 02:00:26 +0000 2010","PGEddington","180202188","1912","2514","Patrick G. Eddington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Jason Kuznicki","Fri Jul 23 16:52:26 +0000 2010","JasonKuznicki","169974430","6178","5532","Jason Kuznicki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","John Glaser","Sat Jun 05 02:47:27 +0000 2010","jwcglaser","152103928","5240","3871","John Glaser",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Swaminomics","Wed Dec 30 00:55:13 +0000 2009","swaminomics","100363256","0","27674","Dan Lips",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Scott Lincicome","Tue Dec 29 15:34:32 +0000 2009","scottlincicome","100250921","201153","31293","Scott Lincicome",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","(((The Alex Nowrasteh)))","Thu Dec 10 16:03:32 +0000 2009","AlexNowrasteh","95929534","27991","11142","Alex Nowrasteh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
