"","group","program_count","program_value","age_eligible_population","total_population","calc_type","per_beneficiary","per_age_eligible_population","per_total_population","program_name","poverty_200"
"1","Gen_1",595260.65,4406242630,14198520.72,43853964.11,1,7402.20713396728,310.331105394196,100.475355407956,"SSI","yes"
"2","Gen_2",233645.82,1865616603.13,5447269.42,38525454.43,1,7984.80624703665,342.486566990843,48.4255573550674,"SSI","yes"
"3","Gen_3+",3580045.53,27179449347.49,45457111.48,237992578.47,1,7591.92840418708,597.914131861376,114.202928184654,"SSI","yes"
"4","Natives",3813691.35,29045065950.62,50904380.9,276518032.9,3,7615.99806723216,570.580870194219,105.03859602214,"SSI","yes"
"5","Naturalized",421150.16,3097699163.34,5183364.53,20409166.6,3,7355.33179742826,597.623251347904,151.779796992789,"SSI","yes"
"6","Noncitizens",174110.49,1308543466.66,9015156.19,23444797.51,3,7515.59234977743,145.149284059159,55.8138096992248,"SSI","yes"
"7","Immigrant",595260.65,4406242630,14198520.72,43853964.11,2,7402.20713396728,310.331105394196,100.475355407956,"SSI","yes"
"8","Non-immigrant",3813691.35,29045065950.62,50904380.9,276518032.9,2,7615.99806723216,570.580870194219,105.03859602214,"SSI","yes"
"9","Gen_1",877756.52,6708372250.22,40747023.69,43853964.11,1,7642.63448617847,164.634656539745,152.970715107834,"SSI","no"
"10","Gen_2",343021.2,2804191272.13,20899186.07,38525454.43,1,8174.9794826967,134.177056596252,72.7880128507027,"SSI","no"
"11","Gen_3+",5036079.45,40780275447.61,180575530.37,237992578.47,1,8097.62352887622,225.83500302644,171.351038380176,"SSI","no"
"12","Natives",5379100.65,43584466719.74,201474716.44,276518032.9,3,8102.55645983125,216.327227008257,157.61889473408,"SSI","no"
"13","Naturalized",616034.1,4707257659.38,19624738.85,20409166.6,3,7641.22904784005,239.863454762864,230.644286052327,"SSI","no"
"14","Noncitizens",261722.42,2001114590.84,21122284.84,23444797.51,3,7645.94256326989,94.7394946142579,85.3543132537808,"SSI","no"
"15","Immigrant",877756.52,6708372250.22,40747023.69,43853964.11,2,7642.63448617847,164.634656539745,152.970715107834,"SSI","no"
"16","Non-immigrant",5379100.65,43584466719.74,201474716.44,276518032.9,2,8102.55645983125,216.327227008257,157.61889473408,"SSI","no"
"17","Gen_1",229528.77,850667014.01,14198520.72,43853964.11,1,3706.14548237243,59.9123690971379,19.3977222190507,"TANF","yes"
"18","Gen_2",106456.12,475044438.18,5447269.42,38525454.43,1,4462.34972850786,87.2078102903895,12.330664107886,"TANF","yes"
"19","Gen_3+",959827.36,3317951367.47,45457111.48,237992578.47,1,3456.82099275645,72.9908095662835,13.9414068657113,"TANF","yes"
"20","Natives",1066283.48,3792995805.65,50904380.9,276518032.9,3,3557.2114515457,74.5121684733032,13.7169925804503,"TANF","yes"
"21","Naturalized",90512.96,315800247.04,5183364.53,20409166.6,3,3489.0058510958,60.925725985936,15.4734513774805,"TANF","yes"
"22","Noncitizens",139015.81,534866766.97,9015156.19,23444797.51,3,3847.52473096405,59.3297282595389,22.813878718375,"TANF","yes"
"23","Immigrant",229528.77,850667014.01,14198520.72,43853964.11,2,3706.14548237243,59.9123690971379,19.3977222190507,"TANF","yes"
"24","Non-immigrant",1066283.48,3792995805.65,50904380.9,276518032.9,2,3557.2114515457,74.5121684733032,13.7169925804503,"TANF","yes"
"25","Gen_1",287708.28,1184430003.33,40747023.69,43853964.11,1,4116.77412735567,29.067890021638,27.008504872195,"TANF","no"
"26","Gen_2",146424.62,721151598.87,20899186.07,38525454.43,1,4925.07065321392,34.5062050002601,18.7188343275825,"TANF","no"
"27","Gen_3+",1259521.51,4736666820.2,180575530.37,237992578.47,1,3760.6875171191,26.2309450815099,19.9025820496208,"TANF","no"
"28","Natives",1405946.13,5457818419.07,201474716.44,276518032.9,3,3881.95415358482,27.0893465716596,19.7376581983851,"TANF","no"
"29","Naturalized",119918.75,428674225.72,19624738.85,20409166.6,3,3574.70558790848,21.8435633205891,21.0040044320085,"TANF","no"
"30","Noncitizens",167789.53,755755777.61,21122284.84,23444797.51,3,4504.18913271883,35.7800201699202,32.2355429722797,"TANF","no"
"31","Immigrant",287708.28,1184430003.33,40747023.69,43853964.11,2,4116.77412735567,29.067890021638,27.008504872195,"TANF","no"
"32","Non-immigrant",1405946.13,5457818419.07,201474716.44,276518032.9,2,3881.95415358482,27.0893465716596,19.7376581983851,"TANF","no"
"33","Gen_1",4169499.04,58864098833.95,6409157.89,43853964.11,1,14117.7868778092,9184.37333643999,1342.27543686358,"Social Security","no"
"34","Gen_2",3406304.82,54523858595.05,3954316.94,38525454.43,1,16006.7467464788,13788.4391722657,1415.26840894554,"Social Security","no"
"35","Gen_3+",32572922.2,511778076899.63,38910377.78,237992578.47,1,15711.7643224417,13152.7398626976,2150.39510975399,"Social Security","no"
"36","Natives",35979227.02,566301935494.68,42864694.72,276518032.9,3,15739.6915497903,13211.3838484997,2047.97470007852,"Social Security","no"
"37","Naturalized",3310295.88,47618042092.09,4703416.45,20409166.6,3,14384.8295796719,10124.139037718,2333.16935597409,"Social Security","no"
"38","Noncitizens",859203.16,11246056741.86,1705741.44,23444797.51,3,13088.9378268348,6593.06063518044,479.682400202568,"Social Security","no"
"39","Immigrant",4169499.04,58864098833.95,6409157.89,43853964.11,2,14117.7868778092,9184.37333643999,1342.27543686358,"Social Security","no"
"40","Non-immigrant",35979227.02,566301935494.68,42864694.72,276518032.9,2,15739.6915497903,13211.3838484997,2047.97470007852,"Social Security","no"
"41","Gen_1",1460556.04,16185227356,2477430.14,43853964.11,1,11081.551760246,6533.07114282544,369.071022072308,"Social Security","yes"
"42","Gen_2",958476.65,12066399723.41,1127511.18,38525454.43,1,12589.1431193551,10701.8005120002,313.205902485444,"Social Security","yes"
"43","Gen_3+",9419913.15,117062341725.48,11392633.79,237992578.47,1,12427.1147580039,10275.2659203557,491.873916733232,"Social Security","yes"
"44","Natives",10378389.8,129128741448.89,12520144.97,276518032.9,3,12442.0785822566,10313.6778174934,466.98126735043,"Social Security","yes"
"45","Naturalized",1112104.78,12453252020.81,1695681.68,20409166.6,3,11197.9125031816,7344.09775590074,610.179350528208,"Social Security","yes"
"46","Noncitizens",348451.26,3731975335.19,781748.46,23444797.51,3,10710.1789076326,4773.88255448562,159.181384850869,"Social Security","yes"
"47","Immigrant",1460556.04,16185227356,2477430.14,43853964.11,2,11081.551760246,6533.07114282544,369.071022072308,"Social Security","yes"
"48","Non-immigrant",10378389.8,129128741448.89,12520144.97,276518032.9,2,12442.0785822566,10313.6778174934,466.98126735043,"Social Security","yes"
"49","ChildGen_3+",9084146.89,8818850257.93537,20090692.81,279269122.51,4,970.79564704566,438.952023274471,31.5783219378991,"SNAP","yes"
"50","ChildGen_2",3063055.05,2444984557.64925,7950088.81,17658076.99,4,798.21763492277,307.541791806631,138.462673995242,"SNAP","yes"
"51","ChildGen_1",368307.93,280897834.446554,1155837.97,23444797.51,4,762.671155211223,243.02526975001,11.9812437845429,"SNAP","yes"
"52","ChildGen_3+",10662241.95,9954133546.43282,58169667.22,279269122.51,4,933.587288031183,171.122408329858,35.6435163936764,"SNAP","no"
"53","ChildGen_2",3532284.86,2705887769.75447,17658076.99,17658076.99,4,766.044607669176,153.237964206796,153.237964206796,"SNAP","no"
"54","ChildGen_1",452673.1,330664715.287727,2322512.67,23444797.51,4,730.471316470378,142.373697056183,14.1039697675652,"SNAP","no"
"55","ChildGen_3+",141612.65,1085148137.43,58169667.22,279269122.51,4,7662.79098251463,18.6548795839922,3.88567174085328,"SSI","no"
"56","ChildGen_2",27306.66,195346472.4,17658076.99,17658076.99,4,7153.80322602618,11.0627262816119,11.0627262816119,"SSI","no"
"57","ChildGen_1",6943.44,40301333.16,2322512.67,23444797.51,4,5804.23149908403,17.3524707445407,1.71898832322225,"SSI","no"
"58","ChildGen_3+",83405.78,635455986.57,20090692.81,279269122.51,4,7618.84831686725,31.6293714995088,2.27542515570172,"SSI","yes"
"59","ChildGen_2",10596.91,53114982.24,7950088.81,17658076.99,4,5012.30851635052,6.68105520697951,3.007970928549,"SSI","yes"
"60","ChildGen_1",1968.71,11646888.36,1155837.97,23444797.51,4,5916,10.0765753179055,0.496779225968243,"SSI","yes"
"61","Gen_1",4925937.51,4075159901.73262,40747023.69,43853964.11,1,827.286154860828,100.011228617239,92.925690628806,"SNAP","no"
"62","Gen_2",1848453.28,1476098865.79452,20899186.07,38525454.43,1,798.558925868291,70.6294905864015,38.3148982311568,"SNAP","no"
"63","Gen_3+",17583170.39,16522098030.4049,180575530.37,237992578.47,1,939.654093314223,91.4968821996596,69.4227447621339,"SNAP","no"
"64","Natives",19431623.67,17998196896.1995,201474716.44,276518032.9,3,926.23226971951,89.3322855305241,65.088691350225,"SNAP","no"
"65","Naturalized",1842327.38,1729253111.74064,19624738.85,20409166.6,3,938.624226352558,88.1159808014788,84.7292368979258,"SNAP","no"
"66","Noncitizens",3083610.13,2345906789.99199,21122284.84,23444797.51,3,760.766339158442,111.063116881629,100.060868045091,"SNAP","no"
"67","Immigrant",4925937.51,4075159901.73262,40747023.69,43853964.11,2,827.286154860828,100.011228617239,92.925690628806,"SNAP","no"
"68","Non-immigrant",19431623.67,17998196896.1995,201474716.44,276518032.9,2,926.23226971951,89.3322855305241,65.088691350225,"SNAP","no"
"69","Gen_1",3854392.59,3473610801.03844,14198520.72,43853964.11,1,901.208353827402,244.645964853614,79.2085931462317,"SNAP","yes"
"70","Gen_2",1390637.26,1223103495.65047,5447269.42,38525454.43,1,879.527343924664,224.535157222033,31.7479316920927,"SNAP","yes"
"71","Gen_3+",13660286.88,13984613260.4544,45457111.48,237992578.47,1,1023.74228179126,307.644124431605,58.7607115749505,"SNAP","yes"
"72","Natives",15050924.14,15207716756.1049,50904380.9,276518032.9,3,1010.41747434553,298.750647532282,54.9971970963812,"SNAP","yes"
"73","Naturalized",1374117.14,1445852935.5314,5183364.53,20409166.6,3,1052.20500745038,278.941009678784,70.8433109430053,"SNAP","yes"
"74","Noncitizens",2480275.45,2027757865.50704,9015156.19,23444797.51,3,817.553496127633,224.927646595443,86.4907391348606,"SNAP","yes"
"75","Immigrant",3854392.59,3473610801.03844,14198520.72,43853964.11,2,901.208353827402,244.645964853614,79.2085931462317,"SNAP","yes"
"76","Non-immigrant",15050924.14,15207716756.1049,50904380.9,276518032.9,2,1010.41747434553,298.750647532282,54.9971970963812,"SNAP","yes"
"77","ChildGen_3+",90919.48,212914084.48,58169667.22,279269122.51,4,2341.78730982623,3.66022524548319,0.762397513074064,"TANF","no"
"78","ChildGen_2",20006.15,57861866.62,17658076.99,17658076.99,4,2892.20397827668,3.27679320079802,3.27679320079802,"TANF","no"
